availableSeats,budget,fillRate,id,movieTitle,occupiedSeats,releaseDate,revenue,scrapedAt,showtimeId,startTime,theaterName,totalSeats,breakeven_target,financial_gap,days_since_release,start_datetime,hours_until_showtime,is_flop_risk
280,115000000,5.084745762711865,1,Disclosure Day,15,2026-06-10,12000000,2026-06-12 16:00:12.856409,143424632,12:15am,AMC Empire 25,295,287500000.0,275500000.0,2.0,2026-06-12 00:15:00,0.0,1
35,115000000,83.00970873786407,2,Disclosure Day,171,2026-06-10,12000000,2026-06-12 16:00:19.313912,143424721,4:00pm Almost Full,AMC Empire 25,206,287500000.0,275500000.0,2.0,,0.0,0
11,115000000,94.66019417475728,3,Disclosure Day,195,2026-06-10,12000000,2026-06-12 16:00:25.940753,143424722,7:30pm Almost Full,AMC Empire 25,206,287500000.0,275500000.0,2.0,,0.0,0
170,115000000,17.475728155339805,4,Disclosure Day,36,2026-06-10,12000000,2026-06-12 16:00:35.422763,143424723,11:00pm,AMC Empire 25,206,287500000.0,275500000.0,2.0,2026-06-12 23:00:00,6.9901603436111115,0
29,115000000,83.13953488372093,5,Disclosure Day,143,2026-06-10,12000000,2026-06-12 16:00:41.859580,143971669,7:00pm Almost Full,AMC Empire 25,172,287500000.0,275500000.0,2.0,,0.0,0
39,115000000,59.375,6,Disclosure Day,57,2026-06-10,12000000,2026-06-12 16:00:47.540350,143424645,5:30pm,AMC Empire 25,96,287500000.0,275500000.0,2.0,2026-06-12 17:30:00,1.4867943472222223,0
15,115000000,84.375,7,Disclosure Day,81,2026-06-10,12000000,2026-06-12 16:00:54.881949,143424909,6:30pm,AMC Empire 25,96,287500000.0,275500000.0,2.0,2026-06-12 18:30:00,2.4847550141666663,0
28,115000000,67.44186046511628,8,Disclosure Day,58,2026-06-10,12000000,2026-06-12 16:01:04.249667,144242296,8:30pm,AMC Empire 25,86,287500000.0,275500000.0,2.0,2026-06-12 20:30:00,4.482152870277778,0
34,115000000,64.58333333333334,9,Disclosure Day,62,2026-06-10,12000000,2026-06-12 16:01:13.641627,143424956,9:00pm,AMC Empire 25,96,287500000.0,275500000.0,2.0,2026-06-12 21:00:00,4.9795439925,0
75,115000000,21.875,10,Disclosure Day,21,2026-06-10,12000000,2026-06-12 16:01:30.210898,143424910,10:00pm,AMC Empire 25,96,287500000.0,275500000.0,2.0,2026-06-12 22:00:00,5.9749414172222215,0
200,115000000,1.477832512315271,11,Disclosure Day,3,2026-06-10,12000000,2026-06-12 16:01:42.621912,144242090,11:30pm,AMC Empire 25,203,287500000.0,275500000.0,2.0,2026-06-12 23:30:00,7.471493913333334,0
1,0,99.66101694915255,12,Disclosure Day: IMAX Live Pre-Show Q&A with Steven Spielberg and Emily Blunt,294,,0,2026-06-12 16:01:51.112690,143443205,8:00pm Almost Full,AMC Empire 25,295,0.0,0.0,,,0.0,0
151,30000000,24.875621890547265,13,Scary Movie,50,2026-06-03,118666825,2026-06-12 16:01:58.379394,144242203,3:45pm 20% OFF,AMC Empire 25,201,75000000.0,-43666825.0,9.0,,0.0,1
216,30000000,10.37344398340249,14,Scary Movie,25,2026-06-03,118666825,2026-06-12 16:02:07.757854,143046322,4:30pm,AMC Empire 25,241,75000000.0,-43666825.0,9.0,2026-06-12 16:30:00,0.46451170722222224,1
44,30000000,48.837209302325576,15,Scary Movie,42,2026-06-03,118666825,2026-06-12 16:02:13.386479,144242292,6:00pm,AMC Empire 25,86,75000000.0,-43666825.0,9.0,2026-06-12 18:00:00,1.9629482002777778,0
145,30000000,39.83402489626556,16,Scary Movie,96,2026-06-03,118666825,2026-06-12 16:02:18.770279,143046323,7:15pm,AMC Empire 25,241,75000000.0,-43666825.0,9.0,2026-06-12 19:15:00,3.2114527002777775,0
34,30000000,52.112676056338024,17,Scary Movie,37,2026-06-03,118666825,2026-06-12 16:02:25.703346,144242395,7:45pm,AMC Empire 25,71,75000000.0,-43666825.0,9.0,2026-06-12 19:45:00,3.7095268483333332,0
18,30000000,55.00000000000001,18,Scary Movie,22,2026-06-03,118666825,2026-06-12 16:02:33.878320,144241903,8:45pm,AMC Empire 25,40,75000000.0,-43666825.0,9.0,2026-06-12 20:45:00,4.707256022222222,0
